Symbols,Price,IsUptrend,AboveMA,Yearly_Profit_20%,Quarterly_Profit_Growth,Revenue_Growth,EPS_Growth,Symptoms_Count
DDL,3.99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DDT,25.73,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
DEC,14.77,TRUE,TRUE,FALSE,q_no_gp,FALSE,cant_fetch,2
DEI,17.84,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DFS,169.27,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
DGX,151.52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DHF,2.54,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DIAX,14.65,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DKS,217.59,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DLNG,4.49,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DLR,176.81,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DLX,22.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DLY,15.76,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DMA,8.3461,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DMO,12.02,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DNB,12.22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DOCS,55.18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DOUG,1.65,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DOV,188.94,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DPG,11.15,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DRI,183.44,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DTF,11.04,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
DTM,97.53,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DX,12.43,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
EAT,131.33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
EBS,8.06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ECCC,22.98,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,no data,2
ECCF,24.86,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,no data,2
ECCV,22.65,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
ECCX,24.4868,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
EDN,42.48,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
EDR,31.09,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
EE,29.02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
